"Var1"	"Freq"
"39"	"alexithymia"	3
"230"	"anosmia"	3
"273"	"autoimmune diseases"	3
"316"	"behavioral disorders"	3
"317"	"behavioral impairments"	3
"319"	"beta-glucocerebrosidase"	3
"361"	"cerebellar ataxia"	3
"418"	"Cognitive impairment"	3
"423"	"cognitive impairments"	3
"427"	"colon"	3
"438"	"Constipation"	3
"445"	"coughing"	3
"500"	"dementia and Parkinsonism"	3
"519"	"developmental cell death"	3
"524"	"diabetes mellitus"	3
"541"	"DP"	3
"551"	"dysfunction"	3
"601"	"excitotoxicity"	3
"606"	"extrapyramidal symptoms"	3
"616"	"eye movement sleep behaviour disorder"	3
"677"	"familial PD"	3
"720"	"gastrointestinal dysfunction"	3
"732"	"GBA-PD"	3
"751"	"gliosis"	3
"760"	"gut dysfunction"	3
"770"	"hallucinations"	3
"778"	"head trauma"	3
"793"	"HSS"	3
"796"	"Huntington disease"	3
"820"	"hypertension"	3
"845"	"idiopathic Parkinson disease"	3
"881"	"idiopathic PD"	3
"933"	"iron dyshomeostasis"	3
"952"	"LB disease"	3
"993"	"liver cirrhosis"	3
"1024"	"Lysosomal dysfunction"	3
"1058"	"mitochondrial damage"	3
"1074"	"motor abnormalities"	3
"1088"	"motor neuron disease"	3
"1090"	"motor symptoms"	3
"1126"	"NDs"	3
"1164"	"neurodegenerative movement disorder"	3
"1229"	"Neuronal loss"	3
"1232"	"neuronal toxicity"	3
"1257"	"neuropsychiatric disorders"	3
"1260"	"Neurotoxic"	3
"1273"	"NIID"	3
"1296"	"olfactory dysfunction"	3
"1310"	"palsy"	3
"1311"	"paralysis"	3
"1369"	"Parkinsonism linked"	3
"3295"	"PD-GRS"	3
"3306"	"PDs"	3
"3354"	"proteostasis"	3
"3358"	"pSG"	3
"3367"	"Psychosis"	3
"3412"	"shock"	3
"3421"	"sleep disorders"	3
"3423"	"sleep disturbances"	3
"3481"	"Synucleinopathy"	3
"3486"	"T2D"	3
"3491"	"Tauopathies"	3
"3498"	"telencephalon"	3
"3517"	"tremor-dominant"	3
"3539"	"VaD"	3
"3553"	"visual memory"	3
"3555"	"voice disorders"	3
"4"	"Abeta deposits"	2
"6"	"abnormal aggregation"	2
"7"	"Abnormal aggregation"	2
"27"	"AGD"	2
"29"	"aggression/agitation"	2
"43"	"alpha-Synucleinopathy"	2
"56"	"Alzheimer-type pathology"	2
"63"	"Alzheimer pathology"	2
"65"	"Alzheimer s disease"	2
"225"	"anhedonia"	2
"240"	"appendicitis"	2
"245"	"argyrophilic grain disease"	2
"248"	"ARPs"	2
"249"	"arrector pili muscles"	2
"252"	"ASD"	2
"272"	"autoimmune disease"	2
"285"	"autosomal recessive disease"	2
"288"	"autosomal recessive juvenile parkinsonism"	2
"290"	"autosomal recessive Parkinson disease"	2
"298"	"axonal damage"	2
"306"	"back sensors"	2
"312"	"behavioral defects"	2
"330"	"brain atrophy"	2
"332"	"brain diseases"	2
"337"	"Brain Injury"	2
"342"	"breast cancer"	2
"350"	"cancers"	2
"364"	"cerebral amyloid angiopathy"	2
"379"	"chronic diseases"	2
"390"	"cognitive"	2
"392"	"cognitive ability"	2
"403"	"Cognitive decline"	2
"406"	"cognitive decline/dementia"	2
"411"	"cognitive disturbance"	2
"414"	"cognitive empathy"	2
"480"	"deficit"	2
"483"	"deficits"	2
"492"	"degenerative parkinsonism"	2
"495"	"Deltabradykinesia-rigidity"	2
"520"	"developmental delay"	2
"521"	"developmental parkinsonism"	2
"529"	"diphasic dyskinesia"	2
"534"	"DMND"	2
"539"	"Dopaminergic Neuron Injury"	2
"560"	"Dyskinesia"	2
"568"	"dystonia-parkinsonism"	2
"572"	"dystrophic"	2
"583"	"endolysosomal dysfunction"	2
"587"	"enteric neuropathy"	2
"607"	"Extrapyramidal symptoms"	2
"631"	"familial Parkinson disease"	2
"632"	"familial parkinsonism"	2
"682"	"fatigue symptoms"	2
"690"	"foot dystonia"	2
"691"	"forms of the disease"	2
"693"	"FPD"	2
"694"	"fractures"	2
"700"	"frontal WMHs"	2
"701"	"frontostriatal dysfunction"	2
"708"	"gait disorders"	2
"719"	"gastrointestinal diseases"	2
"721"	"Gastrointestinal dysfunction"	2
"723"	"Gastrointestinal symptoms"	2
"738"	"genetic defects"	2
"745"	"Glaucoma"	2
"756"	"glucose metabolism"	2
"773"	"haploinsufficiency"	2
"776"	"head-and-neck cancers"	2
"777"	"head injury"	2
"787"	"hereditary parkinsonism"	2
"792"	"HSD"	2
"795"	"Huntington"	2
"813"	"hyperactive"	2
"816"	"Hyperactivity"	2
"822"	"hypokinesia"	2
"825"	"hypokinetic dysarthria"	2
"841"	"hypoxia"	2
"889"	"impaired glucocerebrosidase"	2
"893"	"impaired visual-spatial"	2
"903"	"impulsivity"	2
"906"	"infantile degenerative parkinsonism"	2
"908"	"infections"	2
"924"	"intestinal flora disorders"	2
"925"	"intestinal inflammation"	2
"934"	"iron storage disorders"	2
"935"	"irritability"	2
"940"	"isolated autonomic failure"	2
"963"	"Lewy-body diseases"	2
"970"	"Lewy body constipation"	2
"980"	"Lewy Body Disorders"	2
"989"	"lipid disorder"	2
"991"	"lipotoxicity"	2
"994"	"lobar degeneration"	2
"997"	"locomotor deficit"	2
"1000"	"longitudinal change"	2
"1011"	"low-toxicity"	2
"1013"	"LPS"	2
"1016"	"LSD"	2
"1026"	"lysosomal storage disorders"	2
"1029"	"mania"	2
"1034"	"MDS"	2
"1035"	"melanoma"	2
"1037"	"memory deficits"	2
"1046"	"Mesencephalic"	2
"1055"	"midbrain structural damage"	2
"1057"	"mitochondrial abnormalities"	2
"1059"	"mitochondrial defects"	2
"1065"	"mitochondrial dysfunctions"	2
"1066"	"mitochondrial impairment"	2
"1071"	"mood disorders"	2
"1072"	"mortality"	2
"1086"	"motor impairment"	2
"1091"	"motor system dysfunction"	2
"1107"	"multifactorial disorder"	2
"1111"	"multiple sclerosis"	2
"1114"	"multisystem disorder"	2
"1117"	"muscle weakness"	2
"1120"	"myoclonus"	2
"1125"	"NDDs"	2
"1146"	"neurodegenerative dementia"	2
"1151"	"Neurodegenerative Diseases"	2
"1156"	"Neurodegenerative disorders"	2
"1167"	"neurodegenerative parkinsonisms"	2
"1180"	"neuroglioma"	2
"1193"	"neurologic disorders"	2
"1199"	"neurological disorder"	2
"1201"	"Neurological Disorders"	2
"1211"	"neuronal alpha-synucleinopathy"	2
"1212"	"neuronal cell death"	2
"1220"	"Neuronal Degeneration"	2
"1244"	"neuropathological hallmarks"	2
"1264"	"Neurotoxicity"	2
"1266"	"nigral degeneration"	2
"1283"	"nonparkinsonian"	2
"1290"	"obesity"	2
"1295"	"OH"	2
"1297"	"Olfactory dysfunction"	2
"1303"	"Orthostatic hypotension"	2
"1304"	"osteonecrosis"	2
"1307"	"PAF"	2
"1308"	"pain"	2
"1320"	"Parkinson-plus syndromes"	2
"1322"	"Parkinson and Movement Disorders"	2
"1332"	"Parkinson Fatigue"	2
"1348"	"Parkinsonian gait"	2
"1354"	"Parkinsonian Syndromes"	2
"1359"	"parkinsonism-dementia"	2
"1376"	"Parkinsons disease"	2
"3297"	"PD-MCI"	2
"3299"	"PD brains"	2
"3303"	"PD+FoG"	2
"3321"	"pigmented neurons"	2
"3322"	"Pisa syndrome"	2
"3336"	"Prodromal Synucleinopathy"	2
"3341"	"Progressive supranuclear palsy"	2
"3359"	"PsiM"	2
"3365"	"psychomotor"	2
"3368"	"psychotic symptoms"	2
"3379"	"REM behavior disorder"	2
"3394"	"rosacea"	2
"3398"	"schizophrenia"	2
"3403"	"seborrheic dermatitis"	2
"3409"	"sensory neuropathy"	2
"3420"	"sleep disorder"	2
"3434"	"speech disorder"	2
"3437"	"sphingolipid metabolism"	2
"3439"	"sphingomyelin"	2
"3441"	"spinocerebellar ataxias"	2
"3454"	"striatal dopaminergic deficiency"	2
"3465"	"substantia nigra pars reticulata"	2
"3504"	"TMD"	2
"3544"	"vascular Parkinsonism"	2
"3558"	"VP"	2
"3565"	"white matter disease"	2
"3566"	"white matter loss"	2
"1"	"2019 International Parkinson and Movement Disorder"	1
"2"	"A failure"	1
"3"	"A neurodegenerative disorder"	1
"5"	"Abeta metabolism"	1
"8"	"abnormal copper homoeostasis"	1
"9"	"Abnormal CSF"	1
"10"	"abnormal iron metabolism"	1
"11"	"Abnormal Mitochondrial Morphology"	1
"12"	"abnormal protein aggregation"	1
"13"	"Abnormal protein aggregation"	1
"14"	"abnormalities in lipid metabolism"	1
"15"	"Abnormalities in small pial arteries"	1
"16"	"abnormalities of movement"	1
"17"	"absence of abnormalities"	1
"18"	"absence of extrapyramidal symptoms"	1
"19"	"action tremors"	1
"20"	"acute delirium"	1
"21"	"acute toxicity"	1
"22"	"acute traumatic brain injury"	1
"24"	"address neurodegeneration"	1
"26"	"ADPD"	1
"28"	"aggression"	1
"30"	"aggressive disease"	1
"32"	"akinesia/bradykinesia"	1
"33"	"akinetic"	1
"34"	"akinetic-rigid Parkinsons disease	Disease	MESH:D018476
28290191	219	238	Parkinsons disease"	1
"35"	"akinetic-rigidity"	1
"36"	"akinetic-rigidity symptoms"	1
"37"	"akinetic rigid syndrome"	1
"38"	"Akkermansia muciniphila in Parkinson disease"	1
"40"	"allergic reaction"	1
"41"	"allodynia"	1
"44"	"Alpha-synucleinopathy"	1
"45"	"Alpha-Synucleinopathy"	1
"46"	"alpha-synucleinopathy for Parkinson disease"	1
"47"	"alphaS aggregation"	1
"48"	"alphaSN aggregation"	1
"49"	"alphaSN PTMs"	1
"51"	"alphaSynD"	1
"57"	"Alzheimer and Lewy body diseases"	1
"58"	"Alzheimer changes"	1
"59"	"Alzheimer dementia"	1
"61"	"Alzheimer Disease"	1
"62"	"Alzheimer Disease-Type Pathology"	1
"64"	"Alzheimer s"	1
"66"	"Alzheimer type lesions"	1
"67"	"Alzheimers-disease	Disease	MESH:D000544
18391488	461	463	AD	Disease	MESH:D000544
18391488	747	767	cognitive impairment	Disease	MESH:D003072
18391488	861	881	cognitive impairment	Disease	MESH:D003072
18391488	1059	1076	Parkinson disease	Disease	MESH:D010300
18391488	1185	1187	AD	Disease	MESH:D000544
18391488	1448	1456	dementia	Disease	MESH:D003704
18391196	124	143	Parkinsons disease"	1
"68"	"Alzheimers and Parkinson disease	Disease	MESH:D000544
30572013	245	267	neurological disorders	Disease	MESH:D009422
30572013	279	290	Alzheimers"	1
"69"	"Alzheimers dementia	Disease	MESH:D000544
28750675	173	200	Neurodegenerative disorders	Disease	MESH:D019636
28750675	209	228	Alzheimers disease"	1
"70"	"Alzheimers dementia	Disease	MESH:D000544
33614888	264	281	Parkinson disease	Disease	MESH:D010300
33614888	303	322	Alzheimers disease"	1
"71"	"Alzheimers disease	Disease	MESH:D000544
10196523	160	179	Alzheimers disease"	1
"72"	"Alzheimers disease	Disease	MESH:D000544
10214944	310	335	dementia and Parkinsonism	Disease	MESH:C537240
10214944	404	421	neurodegeneration	Disease	MESH:D019636
10214944	480	497	neurodegeneration	Disease	MESH:D019636
10214944	563	571	dementia	Disease	MESH:D003704
10214944	576	595	Parkinsonism linked	Disease	MESH:C564486
10214944	784	801	neurodegeneration	Disease	MESH:D019636
10214944	821	846	dementia and Parkinsonism	Disease	MESH:C537240
10214756	49	60	Parkinsons"	1
"73"	"Alzheimers disease	Disease	MESH:D000544
10319883	770	789	Alzheimers disease"	1
"74"	"Alzheimers disease	Disease	MESH:D000544
10359669	185	187	AD	Disease	MESH:D000544
10359669	193	212	Parkinsons disease"	1
"75"	"Alzheimers disease	Disease	MESH:D000544
10423759	1633	1650	Lewy body disease	Disease	MESH:D020961
10423759	1691	1704	neuronal loss	Disease	MESH:D009410
10423759	2133	2146	neuronal loss	Disease	MESH:D009410
10423759	2206	2231	diffuse Lewy body disease	Disease	MESH:D020961
10423749	21	49	familial Parkinsons disease"	1
"76"	"Alzheimers disease	Disease	MESH:D000544
10465711	222	241	Alzheimers disease"	1
"77"	"Alzheimers disease	Disease	MESH:D000544
10465711	365	367	AD	Disease	MESH:D000544
10465711	370	389	Parkinsons disease"	1
"78"	"Alzheimers disease	Disease	MESH:D000544
10480352	102	121	Alzheimers disease"	1
"79"	"Alzheimers disease	Disease	MESH:D000544
10480352	956	964	dementia	Disease	MESH:D003704
10480352	1039	1058	Alzheimers disease"	1
"80"	"Alzheimers disease	Disease	MESH:D000544
10557341	462	484	neurological disorders	Disease	MESH:D009422
10557341	507	509	PD	Disease	MESH:D010300
10557341	928	947	dystrophic neurites	Disease	MESH:D058225
10557341	1069	1086	synucleinopathies	Disease	MESH:D000080874
10557341	1172	1174	PD	Disease	MESH:D010300
10555946	708	727	Parkinsons disease"	1
"81"	"Alzheimers disease	Disease	MESH:D000544
10619569	575	577	AD	Disease	MESH:D000544
10619569	600	607	atrophy	Disease	MESH:D001284
10619569	621	642	olfactory dysfunction	Disease	MESH:D000857
10619569	910	912	PD	Disease	MESH:D010300
10619569	919	921	AD	Disease	MESH:D000544
10619569	951	972	neurological disorder	Disease	MESH:D009422
10619569	1033	1061	abnormal dystrophic neurites	Disease	MESH:D058225
10619569	1089	1116	neurodegenerative disorders	Disease	MESH:D019636
10619548	50	69	Parkinsons disease"	1
"82"	"Alzheimers disease	Disease	MESH:D000544
10665497	1002	1021	Parkinsons disease"	1
"83"	"Alzheimers disease	Disease	MESH:D000544
10665497	571	590	Parkinsons disease"	1
"84"	"Alzheimers disease	Disease	MESH:D000544
10665497	785	804	Parkinsons disease"	1
"85"	"Alzheimers disease	Disease	MESH:D000544
10672328	539	558	Alzheimers disease"	1
"86"	"Alzheimers disease	Disease	MESH:D000544
10751266	189	191	AD	Disease	MESH:D000544
10751266	226	228	AD	Disease	MESH:D000544
10751266	379	381	AD	Disease	MESH:D000544
10751266	418	446	neurofibrillary degeneration	Disease	MESH:D055956
10751266	626	628	AD	Disease	MESH:D000544
10751266	675	677	AD	Disease	MESH:D000544
10751266	737	739	PD	Disease	MESH:D010300
10751266	866	868	AD	Disease	MESH:D000544
10751266	1092	1094	AD	Disease	MESH:D000544
10751266	1205	1207	AD	Disease	MESH:D000544
10751266	1517	1519	AD	Disease	MESH:D000544
10751266	1682	1684	AD	Disease	MESH:D000544
10751266	1768	1770	AD	Disease	MESH:D000544
10751262	65	84	Parkinsons disease"	1
"87"	"Alzheimers disease	Disease	MESH:D000544
10766891	659	688	amyotrophic lateral sclerosis	Disease	MESH:D000690
10766891	690	693	ALS	Disease	MESH:D000690
10766891	707	710	ALS	Disease	MESH:D000690
10766891	715	723	dementia	Disease	MESH:D003704
10766891	734	754	Huntingtons disease"	1
"88"	"Alzheimers disease	Disease	MESH:D000544
10860784	445	447	AD	Disease	MESH:D000544
10860784	893	895	AD	Disease	MESH:D000544
10860784	961	981	cognitive impairment	Disease	MESH:D003072
10860784	1073	1075	PD	Disease	MESH:D010300
10860784	1239	1241	AD	Disease	MESH:D000544
10860289	0	17	Pulmonary atresia	Disease	MESH:D018633
10860289	30	48	ventricular septum	Disease	MESH:C562832
10860289	75	111	ventricular sinusoidal communication	Disease	MESH:D006504
10860289	117	147	Wolff-Parkinson-White syndrome	Disease	MESH:D014927
10860289	225	242	pulmonary atresia	Disease	MESH:D018633
10860289	255	273	ventricular septum	Disease	MESH:C562832
10860289	318	348	Wolff-Parkinson-White syndrome	Disease	MESH:D014927
10860289	539	556	pulmonary atresia	Disease	MESH:D018633
10860289	569	587	ventricular septum	Disease	MESH:C562832
10860289	592	622	Wolff-Parkinson-White syndrome	Disease	MESH:D014927
10859741	52	83	Parkinson disease and disorders	Disease	MESH:D010300
10859741	516	535	Parkinsons disease"	1
"89"	"Alzheimers disease	Disease	MESH:D000544
10899435	1064	1075	Alzheimers"	1
"90"	"Alzheimers disease	Disease	MESH:D000544
10899435	146	165	Alzheimers disease"	1
"91"	"Alzheimers disease	Disease	MESH:D000544
10912925	540	542	AD	Disease	MESH:D000544
10912925	621	623	AD	Disease	MESH:D000544
10912925	680	696	vascular disease	Disease	MESH:D000783
10912925	839	841	AD	Disease	MESH:D000544
10912925	959	961	AD	Disease	MESH:D000544
10912925	1060	1062	AD	Disease	MESH:D000544
10912925	1383	1385	AD	Disease	MESH:D000544
10912925	1397	1399	AD	Disease	MESH:D000544
10912925	1737	1739	AD	Disease	MESH:D000544
10912919	88	117	amyotrophic lateral sclerosis	Disease	MESH:D000690
10912919	326	352	neurodegenerative diseases	Disease	MESH:D019636
10912919	485	511	neurodegenerative diseases	Disease	MESH:D019636
10912919	589	615	neurodegenerative diseases	Disease	MESH:D019636
10912919	625	655	progressive supranuclear palsy	Disease	MESH:D013494
10912919	660	678	myotonic dystrophy	Disease	MESH:D009223
10912919	734	748	Picks disease"	1
"92"	"Alzheimers disease	Disease	MESH:D000544
10959034	1205	1207	AD	Disease	MESH:D000544
10959031	92	117	dementia of the Alzheimer	Disease	MESH:D000544
10959031	166	185	Lewy body dementias	Disease	MESH:D020961
10959031	187	190	LBD	Disease	MESH:D020961
10959031	679	696	Parkinson disease	Disease	MESH:D010300
10959031	969	972	LBD	Disease	MESH:D020961
10958525	158	171	neurotoxicity	Disease	MESH:D020258
10958525	632	642	neurotoxic	Disease	MESH:D020258
10958525	1445	1460	system deficits	Disease	MESH:D034721
10958525	1482	1501	Parkinsons disease"	1
"93"	"Alzheimers disease	Disease	MESH:D000544
10965798	236	238	AD	Disease	MESH:D000544
10965798	273	292	Parkinsons disease"	1
"94"	"Alzheimers disease	Disease	MESH:D000544
11062131	618	632	atrophy brains	Disease	MESH:C566985
11062131	817	834	synucleinopathies	Disease	MESH:D000080874
11062131	1009	1044	neurodegenerative synucleinopathies	Disease	MESH:D000080874
11061258	53	72	Parkinsons disease"	1
"95"	"Alzheimers disease	Disease	MESH:D000544
11193138	575	622	degeneration and progressive supranuclear palsy	Disease	MESH:D013494
11193138	724	738	Picks disease"	1
"96"	"Alzheimers disease	Disease	MESH:D000544
11193145	436	455	Parkinsons disease"	1
"97"	"Alzheimers disease	Disease	MESH:D000544
11193178	1283	1285	AD	Disease	MESH:D000544
11193175	31	50	Parkinsons disease"	1
"98"	"Alzheimers disease	Disease	MESH:D000544
11215516	228	230	AD	Disease	MESH:D000544
11215516	313	351	autosomal-dominant Parkinsons disease"	1
"99"	"Alzheimers disease	Disease	MESH:D000544
11351130	395	414	Parkinsons disease"	1
"100"	"Alzheimers disease	Disease	MESH:D000544
11433638	3102	3121	Parkinsons disease"	1
"101"	"Alzheimers disease	Disease	MESH:D000544
11578751	1365	1378	neuroblastoma	Disease	MESH:D009447
11578751	1564	1585	neuronal degeneration	Disease	MESH:D009410
11578751	1675	1689	neuronal death	Disease	MESH:D009410
11578751	1933	1979	structural abnormalities and neurodegeneration	Disease	MESH:D019636
11578751	2014	2033	Alzheimers disease"	1
"102"	"Alzheimers disease	Disease	MESH:D000544
11578751	2286	2303	neurodegeneration	Disease	MESH:D019636
11578751	2516	2537	neuronal degeneration	Disease	MESH:D009410
11578658	314	327	schizophrenia	Disease	MESH:D012559
11578658	332	351	Parkinsons disease"	1
"103"	"Alzheimers disease	Disease	MESH:D000544
11578751	53	80	neurodegenerative disorders	Disease	MESH:D019636
11578751	82	101	Alzheimers disease"	1
"104"	"Alzheimers disease	Disease	MESH:D000544
11738473	72	89	neurodegeneration	Disease	MESH:D019636
11738473	1169	1196	neurodegenerative disorders	Disease	MESH:D019636
11738473	1212	1232	CAG repeat disorders	Disease	MESH:D030342
11738473	1245	1256	Alzheimers"	1
"105"	"Alzheimers disease	Disease	MESH:D000544
11826134	300	316	hemiparkinsonian	Disease	
11826134	899	934	rotational behavioral sensitization	Disease	MESH:D009069
11826134	1840	1862	maladaptive dyskinetic	Disease	MESH:D004409
11826134	1904	1923	Parkinsons disease"	1
"106"	"Alzheimers disease	Disease	MESH:D000544
11826152	311	319	toxicity	Disease	MESH:D064420
11826152	345	365	neuronal cell injury	Disease	MESH:D009410
11826152	370	375	death	Disease	MESH:D003643
11826152	544	563	Alzheimers disease"	1
"107"	"Alzheimers disease	Disease	MESH:D000544
11844893	57	86	amyotrophic lateral sclerosis	Disease	MESH:D000690
11844893	225	244	Alzheimers disease"	1
"108"	"Alzheimers disease	Disease	MESH:D000544
12018970	993	1012	Alzheimers disease"	1
"109"	"Alzheimers disease	Disease	MESH:D000544
15920295	858	860	AD	Disease	MESH:D000544
15920295	888	890	AD	Disease	MESH:D000544
15920295	920	941	neurological diseases	Disease	MESH:D020271
15920295	1177	1179	AD	Disease	MESH:D000544
15920295	1422	1424	AD	Disease	MESH:D000544
15920295	1426	1429	FTD	Disease	MESH:C563003
15920295	1435	1437	PD	Disease	MESH:D010300
15919558	0	6	Tremor	Disease	MESH:D014202
15919558	34	57	ventricular tachycardia	Disease	MESH:D017180
15919076	343	362	Parkinsons disease"	1
"110"	"Alzheimers disease	Disease	MESH:D000544
16009383	108	110	AD	Disease	MESH:D000544
16009383	116	135	Parkinsons disease"	1
